,tb_latitude,tb_longitude,collision_severity,type_of_collision,mviw,ped_action,DRIVE_DANGER_SCORE,WALK_DANGER_SCORE,AVERAGE_SCORE
9389,37.7985800538962,-122.401051293017,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9390,37.7859639916357,-122.397234460071,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
9391,37.7801930300947,-122.427016756741,Injury (Other Visible),Other,Non-Collision,No Pedestrian Involved,2,0,1.0
9392,37.7772998562026,-122.419693565679,Injury (Other Visible),Not Stated,Other Object,No Pedestrian Involved,3,0,1.5
9393,37.7918429477769,-122.439487643826,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
9394,37.8051696491535,-122.417226193631,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9395,37.7580887557113,-122.428050186752,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9396,37.767595241568,-122.431191120069,Injury (Complaint of Pain),Rear End,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
9397,37.7305675133382,-122.431191657261,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9398,37.8008867536546,-122.427825033845,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9399,37.7210572959865,-122.475221952486,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9400,37.7766929735518,-122.475888271165,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
9401,37.779738904627,-122.407159489148,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9402,37.777919294787,-122.429849201221,Injury (Other Visible),Overturned,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
9403,37.7570354019375,-122.418901028816,Injury (Other Visible),Other,Other Object,No Pedestrian Involved,3,0,1.5
9404,37.7418131888728,-122.503548963629,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9405,37.8064017798409,-122.437461294935,Injury (Complaint of Pain),Other,Pedestrian,Not in Road,0,3,1.5
9406,37.7653407373074,-122.479426756321,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
9407,37.7715951029086,-122.422526344537,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
9408,37.753484775687,-122.493618541812,Injury (Severe),Not Stated,Bicycle,No Pedestrian Involved,2,0,1.0
9409,37.7844214684973,-122.473119808987,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9410,37.7408975164598,-122.384705540022,Fatal,Broadside,Other Motor Vehicle,No Pedestrian Involved,10,0,5.0
9411,37.7846665860601,-122.397811613268,Injury (Complaint of Pain),Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
9412,37.7863039627653,-122.431552024522,Injury (Other Visible),Overturned,Not Stated,No Pedestrian Involved,0,0,0.0
9413,37.752852404478,-122.4081889676,Injury (Complaint of Pain),Broadside,Other Object,No Pedestrian Involved,1,0,0.5
9414,37.8061318333843,-122.409487400659,Injury (Complaint of Pain),Hit Object,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
9415,37.7832878528258,-122.408952159197,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
9416,37.7760442859664,-122.429554057244,Injury (Severe),Broadside,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
9417,37.764783452499,-122.424102683943,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
9418,37.8007910837192,-122.406015083595,Injury (Other Visible),Hit Object,Fixed Object,No Pedestrian Involved,3,0,1.5
9419,37.7699175506756,-122.420938647335,Injury (Other Visible),Broadside,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
9420,37.7626580538835,-122.419438455985,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
9421,37.7874538442115,-122.414995423456,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9422,37.731576070513,-122.499058976328,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9423,37.7838334803626,-122.486088705895,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9424,37.7220827942212,-122.450118227128,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9425,37.7759498621508,-122.422787633012,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9426,37.7918420909436,-122.394940237395,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
9427,37.7746602272731,-122.413586545876,Injury (Complaint of Pain),Other,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
9428,37.7345121569254,-122.477977794228,Injury (Complaint of Pain),Overturned,Fixed Object,No Pedestrian Involved,1,0,0.5
9429,37.7819607663533,-122.420638250202,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9430,37.7436084500702,-122.505533542201,Injury (Other Visible),Not Stated,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
9431,37.7914309928031,-122.39853840798,Injury (Other Visible),Other,Non-Collision,No Pedestrian Involved,2,0,1.0
9432,37.7619358774986,-122.40718748904,Injury (Other Visible),Other,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9433,37.7406486906074,-122.42384591839,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9434,37.7335503423179,-122.434144538552,Injury (Other Visible),Not Stated,Bicycle,No Pedestrian Involved,2,0,1.0
9435,37.7856816914194,-122.459178766956,Injury (Other Visible),Broadside,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
9436,37.7681753587213,-122.455282600194,Injury (Complaint of Pain),Head-On,Fixed Object,No Pedestrian Involved,1,0,0.5
9437,37.7657832987816,-122.407534229606,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9438,37.7738892388241,-122.423947060702,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
9439,37.7724715757845,-122.486334061851,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9440,37.7484249106913,-122.407870354859,Injury (Complaint of Pain),Head-On,Bicycle,No Pedestrian Involved,1,0,0.5
9441,37.7654898092279,-122.412416425852,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9442,37.7472051675227,-122.40359177176,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9443,37.7371695325849,-122.389864462291,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9444,37.7835156400856,-122.41588253952,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
9445,37.7714950330549,-122.507750666905,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
9446,37.7810308421747,-122.420439517708,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
9447,37.7142812689123,-122.469860307739,Injury (Complaint of Pain),Vehicle/Pedestrian,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
9448,37.7662679223802,-122.42653846404,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9449,37.7497403979982,-122.396359881109,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9450,37.7761004606381,-122.50915933065,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
9451,37.7935086029883,-122.397608333748,Injury (Other Visible),Overturned,Non-Collision,No Pedestrian Involved,2,0,1.0
9452,37.7424567523882,-122.405581425129,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9453,37.7699299690011,-122.425804277739,Injury (Severe),Not Stated,Non-Collision,No Pedestrian Involved,2,0,1.0
9454,37.7845682408087,-122.431204945141,Injury (Other Visible),Broadside,Other Object,No Pedestrian Involved,3,0,1.5
9455,37.7483167195986,-122.410546067853,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9456,37.7455771473106,-122.507467852018,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
9457,37.7841410125464,-122.410951618577,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9458,37.7778268636134,-122.453384995394,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9459,37.7785352222825,-122.51359109111,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
9460,37.7224316039158,-122.39562276028,Injury (Other Visible),Sideswipe,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
9461,37.7935965972439,-122.421296638033,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9462,37.7534138174643,-122.49522653922,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
9463,37.735307709165,-122.3982085213,Injury (Other Visible),Other,Non-Collision,No Pedestrian Involved,2,0,1.0
9464,37.7127665951168,-122.431927237013,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,8,4.5
9465,37.789571918586,-122.388481187009,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
9466,37.7112228528856,-122.455815737739,Injury (Complaint of Pain),Not Stated,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9467,37.7785051048408,-122.405615267361,Injury (Other Visible),Broadside,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
9468,37.7552947809224,-122.420964093694,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9469,37.7832878528258,-122.408952159197,Injury (Other Visible),Other,Bicycle,No Pedestrian Involved,2,0,1.0
9470,37.7589617980328,-122.413599748728,Injury (Complaint of Pain),Head-On,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9471,37.7817982350482,-122.388306067631,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
9472,37.7377840536125,-122.395944828919,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9473,37.7617009081679,-122.421578401877,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
9474,37.7429806168563,-122.388455028966,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9475,37.8131769487309,-122.370832388626,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
9476,37.7899518847866,-122.425616053245,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9477,37.7737596997592,-122.408516331905,Injury (Other Visible),Sideswipe,Bicycle,No Pedestrian Involved,2,0,1.0
9478,37.7146945118538,-122.485228935951,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9479,37.7342779969099,-122.425791804644,Injury (Complaint of Pain),Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
9480,37.7324340226669,-122.383803253194,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
9481,37.7105934394603,-122.469288460164,Injury (Other Visible),Broadside,Other Object,No Pedestrian Involved,3,0,1.5
9482,37.7179429220068,-122.385567623962,Injury (Complaint of Pain),Other,Non-Collision,No Pedestrian Involved,1,0,0.5
9483,37.7625788312932,-122.421662476949,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9484,37.8051696491535,-122.417226193631,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
9485,37.773053454703,-122.418618216707,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9486,37.7480134501296,-122.422487363942,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9487,37.7795669101925,-122.398059939952,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9488,37.7871124570876,-122.440249956871,Injury (Complaint of Pain),Broadside,Not Stated,No Pedestrian Involved,0,0,0.0
9489,37.8059773685268,-122.418380659027,Injury (Other Visible),Sideswipe,Bicycle,No Pedestrian Involved,2,0,1.0
9490,37.8068177006584,-122.411662958602,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9491,37.7886990451438,-122.420306883686,Injury (Other Visible),Broadside,Other Object,No Pedestrian Involved,3,0,1.5
9492,37.7571666428482,-122.416719594116,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9493,37.7740433271822,-122.414367690617,Injury (Complaint of Pain),Head-On,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9494,37.8086248501298,-122.412523835614,Injury (Other Visible),Not Stated,Pedestrian,Not Stated,1,6,3.5
9495,37.7807191769573,-122.415315615362,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9496,37.7900390965485,-122.402189644433,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9497,37.765498440465,-122.476186638211,Injury (Other Visible),Broadside,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
9498,37.7374547424282,-122.475288554983,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9499,37.7654476084468,-122.413105243232,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
9500,37.7714283948285,-122.453979522907,Injury (Complaint of Pain),Other,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9501,37.8080923183674,-122.408988991403,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9502,37.7780823821031,-122.40615042342,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9503,37.7145671979626,-122.442661526472,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9504,37.7714283948285,-122.453979522907,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9505,37.7840282387539,-122.481791171864,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9506,37.7878896135953,-122.401043044686,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
9507,37.7485509038418,-122.478224161297,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9508,37.7849538797029,-122.427988927016,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9509,37.7464655024444,-122.419321894891,Injury (Severe),Rear End,Bicycle,No Pedestrian Involved,2,0,1.0
9510,37.7613228228793,-122.485568385513,Injury (Complaint of Pain),Sideswipe,Fixed Object,No Pedestrian Involved,1,0,0.5
9511,37.7725262698299,-122.406968290079,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9512,37.7124218718409,-122.467072690956,Injury (Severe),Broadside,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
9513,37.7407886725856,-122.41834709168,Injury (Complaint of Pain),Head-On,Bicycle,No Pedestrian Involved,1,0,0.5
9514,37.7264254183952,-122.418403941562,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9515,37.761628102282,-122.422774891308,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9516,37.7160388196478,-122.44025513476,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9517,37.7649962696372,-122.420580608005,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
9518,37.76209916183,-122.414998616966,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9519,37.7867126545431,-122.428335614547,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9520,37.7482982871896,-122.411484128199,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9521,37.7930603000291,-122.401126342823,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
9522,37.7657274734705,-122.435471951724,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9523,37.7729128591358,-122.476694205502,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
9524,37.7645960616164,-122.496546986756,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9525,37.777026420978,-122.412616667515,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9526,37.7346255728985,-122.475102469871,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9527,37.7216263830396,-122.43864176051,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9528,37.7401534804154,-122.435839577463,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
9529,37.7080857295844,-122.485723865922,Injury (Other Visible),Hit Object,Fixed Object,No Pedestrian Involved,3,0,1.5
9530,37.7832592361041,-122.402708153812,Injury (Other Visible),Rear End,Bicycle,No Pedestrian Involved,2,0,1.0
9531,37.758698272665,-122.417964704914,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9532,37.7423753982582,-122.421968762037,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9533,37.7819607663533,-122.420638250202,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
9534,37.7160605253611,-122.402090827955,Injury (Other Visible),Broadside,Pedestrian,Crossing in Crosswalk Not at Intersection,1,6,3.5
9535,37.7932091014572,-122.399958735917,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9536,37.7978646123509,-122.406667931177,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9537,37.8010375614146,-122.404429661675,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9538,37.7657832987816,-122.407534229606,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9539,37.7506396500887,-122.418287870245,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9540,37.7839325763122,-122.412595276832,Injury (Complaint of Pain),Broadside,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9541,37.7837064379382,-122.414378320456,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9542,37.7708961084587,-122.414996654148,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9543,37.7878624433528,-122.426864643217,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9544,37.7425207345694,-122.404306291737,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9545,37.7171738689179,-122.472572454704,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9546,37.7555024983316,-122.417658992053,Injury (Complaint of Pain),Rear End,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9547,37.7301376093428,-122.41263180323,Injury (Other Visible),Head-On,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9548,37.7976275611591,-122.408618846805,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9549,37.7992344826637,-122.397669949011,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
9550,37.7101018594248,-122.424550389407,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9551,37.7252351118835,-122.402600410775,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
9552,37.7969090572956,-122.405288397379,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9553,37.708311265501,-122.420083066203,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9554,37.7821692706265,-122.41899327322,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9555,37.7095398928812,-122.457670306049,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9556,37.7793146749369,-122.406628199591,Injury (Other Visible),Other,Non-Collision,No Pedestrian Involved,2,0,1.0
9557,37.7427642868475,-122.428805596541,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,6,3.5
9558,37.7914981017593,-122.405741878612,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9559,37.7818633379925,-122.413865605267,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9560,37.7102768695186,-122.456774041309,Injury (Complaint of Pain),Rear End,Not Stated,No Pedestrian Involved,0,0,0.0
9561,37.7291597531148,-122.392415075184,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9562,37.7766609865927,-122.412157953595,Injury (Complaint of Pain),Broadside,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
9563,37.7932091014572,-122.399958735917,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9564,37.7353698703022,-122.424702561822,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9565,37.7835077540026,-122.430989254251,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9566,37.780971183063,-122.408708673534,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,8,4.5
9567,37.7278362526226,-122.398885200161,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
9568,37.7540988824075,-122.414233509263,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9569,37.7913109709648,-122.392524623579,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9570,37.7758015922906,-122.446470829739,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
9571,37.8001477207449,-122.404249211676,Injury (Other Visible),Hit Object,Fixed Object,No Pedestrian Involved,3,0,1.5
9572,37.7628898649813,-122.428508750702,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
9573,37.7201676595708,-122.48503032936,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9574,37.778850928825,-122.430047264675,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9575,37.7748247947858,-122.424136499225,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9576,37.784318673607,-122.439684678504,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9577,37.7530040308727,-122.40633623814,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9578,37.7832143117731,-122.410764829506,Fatal,Broadside,Other Motor Vehicle,No Pedestrian Involved,10,0,5.0
9579,37.7798398333388,-122.490096579061,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9580,37.7713415628496,-122.408594593901,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
9581,37.7532569077506,-122.428165307629,Injury (Complaint of Pain),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
9582,37.7384964538898,-122.49418139922,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
9583,37.7297328732362,-122.375074229902,Injury (Severe),Other,Non-Collision,No Pedestrian Involved,2,0,1.0
9584,37.7717364636207,-122.423673410547,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
9585,37.7436085821403,-122.437682926302,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
9586,37.7831013992334,-122.419181705051,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,6,3.5
9587,37.7112228528856,-122.455815737739,Injury (Severe),Overturned,Other Object,No Pedestrian Involved,4,0,2.0
9588,37.7851672145575,-122.417901409619,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9589,37.776746108795,-122.407842060695,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9590,37.7819746194716,-122.485945329015,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9591,37.7467751399368,-122.419121301114,Injury (Other Visible),Head-On,Bicycle,No Pedestrian Involved,2,0,1.0
9592,37.7181777259966,-122.39798097714,Injury (Severe),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
9593,37.7131431579558,-122.433706819682,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9594,37.7749028313892,-122.431011538759,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9595,37.7684052691442,-122.417802154764,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
9596,37.7811602619824,-122.461062827856,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
9597,37.7455342376243,-122.45162398662,Injury (Complaint of Pain),Rear End,Bicycle,No Pedestrian Involved,1,0,0.5
9598,37.7455342376243,-122.45162398662,Injury (Other Visible),Rear End,Bicycle,No Pedestrian Involved,2,0,1.0
9599,37.7944340072644,-122.397796257466,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
